Голодный	['hʌŋgrɪ]	Hungry
Толстый, полный	[əuvə’weɪt / plʌmp/  θɪk / lɑːʤ / ‘tʃʌbɪ]	Overweight / plump (polite)/ thick / large (neutral)/ chubby (little bit overweight, polite)
Низкий	[ʃɔ:t ] 	Short 
Высокий	[tɔ:l]	Tall
Среднего роста	[‘mi:dɪəm haɪt]	Medium height
Волосы	[heə]	Hair
Лысый	[bɔ:ld  / 'bɔːld'hedɪd]	Bald /  bald-headed
Прямые	[streɪt]	Straight
Волнистые	[‘weɪvɪ]	Wavy
Кудрявые	['kɜːlɪ]	Curly
Седые(с проседью)	[greɪ]	Gray
Седые (полностью)	[wait]	White
Блондинистые	[blɔnd]	Blond
Рыжие	['ʤɪnʤə / red]	Ginger / red
Волосы средней длины, до плеч	[ˌʃəuldə'leŋθ]	Shoulder-length
Косы	[breɪdz  / plæts] 	Braids / plaits
Локон, завиток	[lɔk  /  kɜːl] 	Lock / curl 
Челка	[frɪnʤ  / bæŋz]	Fringe / bangs
Стрижка	[‘hɛəkʌt]	Haircut
Причёска	[‘hɛədu:]	Hairdo
Перманентная завивка	[pə:m]	Perm
Жидкие волосы	[spɑ:s heə]	Sparse hair
Редкие	['skæntɪ /  θɪn]	Scanty / thin
Густые	[θɪk]	Thick 
Шелковистые	['sɪlkɪ]	Silky
Крашеные	[daɪd]	Dyed 
Лицо	[feɪs]	Face
Бледная кожа	[peɪl skɪn]	Pale skin
Загорелый	[sʌn- tænd]	Sun-tanned
Морщины	[‘rɪŋklz]	Wrinkles
Родинка	[məul]	Mole
Квадратное / круглое / овальное (лицо)	[skweə /  raund /  'əuv(ə)l]	Square / round / oval
Впалые щеки	['hɔləu tʃi:ks]	Hollow cheeks  
Пухлое лицо	[‘tʃʌbɪ feɪs]	Chubby face  
Гладко выбритый	[ˌkliːn'ʃeɪv(ə)n  / smuːð ʧiːkt]	Clean-shaven / smooth-cheeked  
Высокие скулы	[haɪ ‘tʃi:kbəunz]	High cheekbones  
Круговая пластика	[feɪs lɪft]	Face lift  
Веснушки	['freklz]	Freckles
Ямочки	[‘dɪmplz]	Dimples
Угри	[ʹæknı]	Acne
Шрам	[skɑ:]	Scar
Оттопыренные уши	['prɔmɪnənt ɪəz]	Prominent ears
Бородавкa	[wɔ:t]	Wart
Мочка уха	[ ɪə ləub]	Ear lobe
Прыщ	[spɔt  /  ‘pɪmpl]	Spot / pimple
Улыбка	[smaɪl]	Smile
Глаза	[aɪz]	Eyes
Синяк под глазом	[blæk aɪ]	Black eye  
Толстые / тонкие брови	[θɪk  /  θɪn 'aɪbrauz]	Thick / thin eyebrows
Длинные ресницы	[lɔŋ læʃɪz]	Long lashes  
Накладные ресницы	[fɔ:ls ailæʃɪs]	False eyelashes   
Широко посаженные	[waɪd set]	Wide-set
Раскосые/миндалевидные глаза	['slɑːntɪŋ  /   'ɑːmənd‘ʃeɪpt aɪz]	Slanting / almond-shaped eyes
Косоглазый	[krɔs aɪd]	Cross eyed 
Поросячьи глазки	[‘pɪgɪ aɪz]	Piggy eyes  
Косматые	['ʃægɪ]	Shaggy 
Густые	['buʃɪ]	Bushy
Губы	[lɪps]	Lips
Полные / тонкие губы	[ful  /  θɪn lɪps]	Full / thin lips
Верхняя / нижняя губа	 ['ʌpə  / 'ləuə lɪp]	Upper / lower lip
Кусать губы	[baɪt <one's> lɪps]	To bite one's lips
Поджать губы	[pɜːs <one's> lɪps]	To purse  one's lips
Презрительно кривить губы	[kɜːl <one's> lɪps]	To curl one's lips
Нос	[nəuz]	Nose
Вздёрнутый	[‘ʌptə:nd]	Upturned
Мясистый	['fleʃɪ]	Fleshy 
Изогнутый, кривой	['krukɪd]	Crooked
Крючковатый	[hukt]	Hooked
Кривой 	['kɜːvd]	Curved 
Приплюснутый нос	[pʌg nəuz]	Pug nose  
Нос картошкой	[‘bʌlbəs nəuz]	Bulbous nose  
Курносый нос	[snʌb nəuz]	Snub nose  
Подбородок	[ʧɪn]	Chin
Двойной	[‘dʌbl]	Double 
Острый	[’pɔɪntɪd]	Pointed
Массивный	['mæsɪv]	Massive 
Выдающийся	[prə'truːdɪŋ]	Protruding 
Круглый 	[raʊnd]	Round 
Зубы	[tiːθ]	Teeth
Белоснежные зубы	[‘snəʊ’waɪt ti:θ]	Snow-white teeth
Крупные	[lɑːʤ] 	Large 
Мелкие	[smɔːl  / 'taɪnɪ]	Small / tiny
Редкие	['waɪdlɪ speıst]	Widely-spaced
Ровные / неровные	[ʌn'iːv(ə)n  / ʌn'iːv(ə)n]	Even / uneven 
Вставные зубы	[fɔ:ls ti:θ]	False teeth  
Квадратная челюсть	[skweə ʤɔː]	Square jaw
Верхняя одежда	[ˌaut'weə]	Outwear
Пальто, плащ	[kəʊt]	Сoat
Плащ	['reɪnkəut]	Raincoat
Куртка	[‘dʒækɪt]	Jacket
Спортивная куртка	[spɔ:t ‘dʒækɪt]	Sport jacket
Шуба	[fɜː kəut]	Fur coat
Пуховик	[daun ‘dʒækɪt]	Down jacket 
Дублёнка	['ʃiːpskɪn kəut]	Sheepskin coat 
Зимнее пальто	[‘wɪntə kəut]	Winter coat
Головные уборы 	['hedgɪə]	Headwear
Шапка, шляпа	[hæt]	Hat 
Кепка	[kæp]	Cap
Берет	['bereɪ]	Beret
Панама	[sʌn hæt]	Sun hat
Шерстяная шапка	['wulən hæt]	Woollen hat
Верхняя часть тела	['ʌpə  'bɔdɪ]	Upper body
Рубашка	[ʃ3:t]	Shirt
Футболка	[ti: - ʃ3:t]	T-shirt  
Свитер, джемпер	[‘dʒʌmpə]	Jumper
Свитер	[‘swetəʳ]	Sweater
Блузка	[blaʊz]	Blouse 
Туника	['tjuːnɪk]	Tunic
Пуловер	['puləuvə]	Pullover
Кардиган	['kɑ:dɪgən] 	Cardigan
Топ	[tɔp]	Top 
Жилетка	['weɪstkəut  , vɛst]	Waistcoat, vest (am.) 
Майка	[‘ʌndəvɛst]	Undervest  
Нижняя часть тела	['ləuə 'bɔdɪ]	Lower body
Брюки	[‘traʊzɪz ,  pænts]	Trousers (br.), pants (am.)
Носки	[sɔks]	Socks
Юбка	[sk3:t]	Skirt 
Шорты	[‘ʃɔ:ts]	Shorts 
Колготки	[taɪts  /  'pæntɪhəuz]	Tights, panty hose (am.)
Джинсы	[ʤiːnz]	Jeans 
Легинсы	[‘legɪŋz]	Leggings
Слаксы (широкие брюки)	[slæks]	Slacks
Гетры	[leg wɔ:məz]	Leg warmers 
Гольфы	[ni:'haɪ 'stɔkɪŋz]	Knee-high stockings
Чулки	['stɔkɪŋz  ]	Stockings 
Все тело	[həul 'bɔdɪ]	Whole body
Платье	[dres]	Dress 
Костюм	[su:t]	Suit
Комбинезон	[‘əʊvərɔ:l  /  'kʌv(ə)rɔːlz]	Overall / coveralls
Брючный костюм	['trauzə su:t ,  slæk su:t ,  'pænt s(j)uːt]	Trouser suit, slack suit, pantsuit
Женский костюм (с юбкой)	[skɜːt su:t]	Skirt suit
Сарафан	['pɪnəfɔ: dres]	Pinafore dress  sundress
Летнее платье	['sʌmə dres]	Summer dress
Халат	[rəʊb]	Robe 
Нижнее бельё	['ʌndəweə]	Underwear
Бюстгальтер	[brɑ:]	Bra 
Трусы (мужские)	['ʌndəpænts]	Underpants
Мужские широкие трусы	['bɔksəz]	Boxers
Трусики (женские или детские) 	['pæntɪz] 	Panties
Купальник	[bɪ'kiːnɪ  /  swɪms(j)uːt]	Bikini / swimsuit
Обувь	['futweə]	Footwear
Туфли, ботинки	[ʃu:z]	Shoes 
Ботинки, сапоги	[bu:ts], 	Boots
Туфли на высоком каблуке	[haɪ hi:lz]	High heels 
Туфли на низком каблуке	[ləu hi:lz]	Low heels 
Кроссовки	['treɪnəz , 'sni:kəz]	Trainers (br.), sneakers (am.)
Обувь на низкой подошве	[flæts]	Flats
Сандалии	[‘sændlz]	Sandals
Шлёпки	[flɪp- flɔps]	Flip-flops 
Домашние тапочки	[‘slɪpəz]	Slippers
Шнурок	[leɪs]	Lace
Зимние сапоги	['wɪntə buːts]	Winter boots
Обувь на шпильках	[stɪ'letəu hi:lz]	Stiletto heels
Подошва	[səul]	Sole 
Платформа	['plætfɔːm səul]	Platform sole
Туфли на платформе	['plætfɔːm ʃu:z]	Platform shoes
Ковбойские сапоги	['westən buːts , 'kaubɔɪ buːts]	Western boots, cowboy boots
Туристические ботинки	['haɪkɪŋ buːts]	Hiking boots
Мокасины	['mɔkəsɪnz]	Moccasins
Тенниски	['tenɪs ʃu:z]	Tennis shoes
Аксессуары	[ək'ses(ə)rɪz]	Accessories
Очки	[glɑ:sɪz]	Glasses 
Шарф	[skɑ:f]	Scarf 
Галстук	[taɪ]	Tie
Кольцо	[rɪŋ]	Ring
Кошелек	[pə:s/ ‘wɒlɪt]	Purse/ wallet
Браслет	['breɪslɪt]	Bracelet
Цепочка	[tʃeɪn]	Chain
Ожерелье	[‘neklɪs]	Necklace
Солнечные очки	[‘sʌnˌglɑ:sɪz]	Sunglasses 
Серьги	[pɪnz  /  'ɪərɪŋz]	Pins / earrings 
Женская сумка	[‘hændbæg]	Handbag 
Драгоценности	[‘dʒu:əlrɪ]	Jewellery
Бижутерия	[bɪ'ʒu:tərɪ]	Bijouterie
Обруч, повязка на голову	[hɛəʳ- bænd]	Hair-band
Сумка-клатч	[klʌtʃ]	Clutch
Брошь	[brəuʧ]	Brooch
Пашмина	[pæʃ’mi:nə]	Pashmina 
Бабочка	[baʊ- taɪ]	Bow-tie 
Стили	[staɪlz]	Styles
Короткий / длинный рукав	[ʃɔ:t / lɔŋ sli:v]	Short / long sleeve
Принт / рисунок на одежде	[prɪnt]	Print
V вырез	[vi- nek]	V-neck
Мини / миди / макси- юбка	[mini / ’mɪdɪ / maksi sk3:t]	Mini / midi / maxi- skirt
Платье со складками	[pli:tid dres]	Pleated dress
В складку	[pli͟:tɪd]	Pleated
Круглый вырез	[raund nek]	Round-neck
Пышная юбка	[ful- sk3:t]	Full-skirt
Материал	['fæbrɪk]	Fabric
Хлопок	['kɔt(ə)n]	Cotton
Джинсовая ткань	['denɪm]	Denim
Шерсть	[wul]	Wool
Кожа	[‘leðəʳ]	Leather
Мех	[fə:r]	Fur
Шелк	[sɪlk]	Silk
Бархат	['velvɪt]	Velvet
Вельвет	['kɔ:d(j)ərɔɪ] 	Corduroy
Вязанный	['nɪtɪd]	Knitted
Искусственный мех / кожзам	[feɪk fə:r/ ’leðəʳ]	Fake fur / leather
Полиэстер	[pɔlɪ’ɛstər]	Polyester
Цвета	['kʌləz]	Colours
Красный	[rɛd]	Red
Оранжевый	[‘ɒrɪndʒ]	Orange
Желтый	[‘jeləʊ]	Yellow 
Зеленый	[gri:n]	Green 
Синий	[blu:]	Blue
Голубой	[laɪt blu:]	Light blue 
Черный	[blæk]	Black
Коричневый	[braʊn]	Brown 
Белый	[waɪt]	White
Темно-синий	[‘neɪvɪ]	Navy
Фиолетовый	[‘p3:pl]	Purple
Бежевый	[beɪʒ]	Beige
Действия	['ækʃ(ə)nz]	Actions
Надевать что-то	[pʊt <smth> ɒn]	To put smth on
Снимать	[teɪk <smth> ɒf]	To take smth off 
Носить (одежду, украшения)	[wɛə]	To wear 
Примерять	[ʹtraı ɒn]	To try on
Переодеваться 	[ʧeɪnʤ kləuðz] 	To change clothes
Одеваться 	[dress , get dresst]	To dress, to get dressed
Раздеваться 	[ʌn'dres ,  get ʌn'drest]	To undress, to get undressed
Одеваться "на выход"	[dres ʌp]	To dress up 
Подходить (о фасоне, размере)	[fɪt]	To fit
Подходить, быть к лицу	[s(j)u:t]	To suit
Подходить (детали одежды между собой; по цвету)	[mætʃ]	To match 
Нарядная одежда	[smɑːt kləuðz]	Smart clothes
Вечернее платье	['i:vnɪŋ gaun]	Evening gown
Смокинг	[tʌks ,  tʌk'si:dəu , 'dɪnə 'ʤækɪt] 	Tux, tuxedo (am.), dinner jacket (br.)
Спортивная одежда	['spɔːtsweə]	Sportswear
Тренировочные (штаны) 	['swetpænts]	Sweatpants
Спортивный костюм	['træks(j)uːt]	Tracksuit
Домашняя одежда	[həum 'kləuðɪŋ]	Home clothing
Пижама	[pɪ'ʤɑ:məz] 	Pyjamas
Халат	['dresɪŋ gaun]	Dressing-gown
Узор	['pæt(ə)n]	Pattern
В полоску	[straɪpt]	Striped
В клеточку	[ʧekt]	Checked 
Цветастый	['flauərɪ , 'flɔ:r(ə)l]	Flowery, floral
В горошек	['pɔlkə dɔt]	Polka dot
Камуфляж	['kæməflɑ:ʒ] 	Camouflage 
Без рисунка	[pleɪn]	Plain
Шотландская клетка	[plæd]	Plaid
Описание	[dɪ'skrɪpʃ(ə)n] 	Description
Элегантный	['elɪg(ə)nt] 	Elegant
Повседневный	['kæʒwəl]	Casual
Плотно облегающий	[taɪt]	Tight 
Мешковатый	['bægɪ]	Baggy
Свободный	[lu:s] 	Loose
Модный	['fæʃ(ə)nəb(ə)l] 	Fashionable 
Пуговица	[‘bʌt (ə)n]	Button
Карман	['pɔkɪt]	Pocket
Воротник	[‘kɔlə]	Collar
Ремень	[belt]	Belt
Перчатки	[glʌvz]	Gloves
Лента	['rɪb(ə)n]	Ribbon
Капюшон	[hud] 	Hood
Носовой платок	['hæŋkəʧi:f]	Handkerchief
Молния	[zɪp]	Zip
