Вставать	[ ‘ɡet ʌp ]	To get up
Возражать	[ˈɒbdʒ|ɛkt]	Object
Критиковать	[ˈkrɪtɪsaɪz]	Critisize
Винить	[bleɪm]	Blame
Принимать	[əkˈsɛpt]	Accept
Притворятся	[prɪˈtɛnd]	Pretend
Быть в курсе, осведомлённым	[ˈbiː əˈwɛər ɒv]	Be aware
Завидовать	[ˈɛnvɪ]	Envy
Предавать	[bɪˈtreɪ]	Betray
Полагать	[səˈpəʊz]	Suppose
Интересоваться	[ˈwʌndə]	Wonder
Продумывать	[ˈθɪŋkˈəʊvə]	Think over
Вести	[liːd]	Lead
Продвигать	[prəˈməʊt]	Promote
Участвовать	[pɑːˈtɪsɪpeɪt]	Participate
Опрашивать	[ˈɪntəvjuː]	Interview
Доверять	[trʌst]	Trust
Мебель	['fɜːnɪʧə]	Furniture
Диван 	['səufə]	Sofa
Стул 	['ʧeə]	Chair
Табурет 	[stuːl]	Stool
Стол 	[ ˈteɪbl ]	Table
Письменный стол	[ desk ]	Desk
Журнальный столик 	['kɔfɪ  'teɪbl]	Coffee table
Телевизор 	[ˌtiː'viː set]	Tv set
Кресло 	[ˌɑːm'ʧeə]	Armchair
Шкаф 	['wɔːdrəub]	Wardrobe 
Книжный шкаф 	['bukkeɪs]	Bookcase 
Шкаф для посуды 	['kʌbəd]	Cupboard 
Кровать	[ bed ]	Bed
Двуспальная кровать 	['dʌbl bed]	Double bed
Тумбочка 	['bedˌsaɪd 'teɪbl]	Bedside table 
Обои 	[wɔːl 'peɪpə]	Wall-paper
Настенный светильник	[wɔːl læmp]	Wall lamp 
Торшер 	['stændəd læmp]	Standard lamp
Комод 	[ʧest əv drɔːrz]	Chest of drawers 
Вешалка 	[kəut ræk]	Coat rack
Двухъярусная кровать 	[ˌbʌŋk bɛd]	Bunk bed
Туалетный столик 	['dresɪŋ 'teɪbl]	Dressing-table
Стенка 	[wɔːl 'juːnɪt]	Wall unit
Обивка 	[ʌp'həulst(ə)rɪ]	Upholstery
Мягкая мебель 	[ ʌpˈhoʊlstəd ˈfɜːnɪtʃə(r) ]	Upholstered furniture 
Домашняя утварь	['haushəuld stʌf]	Household Stuff
Раковина (на кухне) 	[sɪŋk]	Sink
Ковёр 	['kɑːpɪt]	Carpet
Духовка 	['ʌv(ə)n]	Oven 
Кран 	[tæp]	Tap
Плита 	['kukə]	Cooker
Пылесос 	 ['vækjuːm 'kliːnə]	Vacuum cleaner
Стиральная машина 	['wɔʃɪŋ mə'ʃiːn]	Washing machine 
Холодильник	[frɪʤ]	Fridge
Покрывало 	['kʌvə]	Cover
Занавеска 	['kɜːt(ə)n]	Curtain
Столовый сервиз 	['dɪnə set]	Dinner set
Чайный сервиз 	[tiː set]	Tea set 
Линолеум 	[lɪ'nəulɪəm]	Linoleum
Коврик, циновка 	[mæt]	Mat
Подушка 	['pɪləu]	Pillow
Простыня 	[ʃiːt]	Sheet
Штора 	[blaɪnd]	Blind
Люстра 	[ˌʃændə'lɪə / 'lʌstə]	Chandelier / lustre 
Камин 	['faɪəpleɪs]	Fireplace
Стерео-система 	['sterɪəu 'sɪstəm]	Stereo system
Покрывало 	['bedspred]	Bedspread
Ножевые изделия, металлические столовые приборы 	['kʌtl(ə)rɪ]	Cutlery
Диванная подушка 	['kuʃ(ə)n]	Cushion 
Сушилка для посуды 	['dɪʃ 'dreɪnə]	Dish-drainer
Моющиеся обои 	['wɔʃɪŋ wɔːl 'peɪpə]	Washing wall-paper 
Комнатное растение 	[hausplɑːnt]	Houseplant
Оклеенный обоями 	['peɪpəd]	Papered
Дверная ручка 	[dɔː ‘hændl]	Door-handle
Наволочка 	['pɪləu keɪs]	Pillow-case
Батарея центрального отопления 	['reɪdɪeɪtə]	Radiator
Швейная машина 	[səuɪŋmə'ʃiːn]	Sewing-machine
Дверной глазок 	['spaɪhəul]	Spyhole
Фарфоровая и фаянсовая посуда 	['krɔk(ə)rɪ]	Crockery
Фарфор 	['ʧaɪnə]	China
Приспособление, устройство, прибор 	[ə'plaɪən(t)s]	Appliance
Овощерезка 	['veʤ(ə)təbl 'kʌtə]	Vegetable cutter 
Вафельница 	['wɔfl 'meɪkə]	Waffle-maker 
Центральное отопление 	['sentr(ə)l 'hiːtɪŋ]	Central heating
Современные удобства 	['mɔd(ə)n kən'viːnɪən(t)siz]	Modern conveniences
Мусоропровод 	[rɪ'fjuːz ʃuːt]	Refuse-chute 
Вытяжка 	['kukə hud]	Cooker hood
Части зданий	[pa:ts əv 'bɪldɪŋz]	Parts of Buildings
Лифт 	[lɪft]	Lift
Потолок 	['siːlɪŋ]	Ceiling 
Пол, этаж	[ flɔː(r) ]	Floor
Стена	[ wɔːl ]	Wall
Угол	[ ˈkɔːnə(r) ]	Corner
Крыша	[ ruːf ]	Roof
Вход 	[ˈɛntr(ə)ns]	Entrance
Выход	[ ˈeksɪt ]	Exit
Коридор 	['kɔrɪdɔː]	Corridor
Ванная комната 	['bɑːθruːm]	Bathroom
Прихожая 	[hɔːl]	Hall
Столовая 	[daɪnɪŋ ruːm]	Dining room
Туалет 	['tɔɪlət]	Toilet 
Балкон 	['bælkənɪ]	Balcony
Гостиная	[ˈlɪvɪŋ ruːm]	Living room 
Спальня 	['bedruːm]	Bedroom
Кухня 	['kɪʧɪn]	Kitchen
Гостевая комната	[gest ru:m]	Guest room
Крыльцо, подход	[pɔːʧ]	Porch
Лестничный пролёт 	[flaɪt əv steəz]	Flight of stairs
Забор 	[fɛns]	Fence
Изгородь 	[heʤ]	Hedge
Кладовая 	['stɔːrum]	Storeroom
Подвал, фундамент 	['beɪsmənt]	Basement
Двор	[jɑːd]	Yard 
Порог 	['θreʃ(h)əuld]	Threshold
Подоконник 	['wɪndəu-sɪl]	Window-sill 
Типы зданий	[taɪps əv 'bɪldɪŋz]	Types of Buildings
Гараж 	['gærɑːʒ]	Garage
Коттедж, домик 	['kɔtɪʤ]	Cottage
Дворец	['pælɪs] 	Palace
Особняк, большой дом 	['mæn(t)ʃ(ə)n]	Mansion
Студенческое общежитие	['dɔːmɪt(ə)rɪ]	Dormitory
Многоквартирный дом 	[blɔk əv flæts]	Block of flats
Одно/двух/... – комнатная квартира 	[. -ruːm flæt]	One/two/...-room flat
Квартира 	[ə'pɑːtmənt]	Apartment
Загородный дом 	[ˌkʌntrɪ 'haus]	Country-house
Одно/двух/...этажныйдом 	[...-'stɔːrɪd haus]	One/two/...-storeyed house
Недвижимое имущество	[ʹrıəl ı͵steıt]	Real estate
Один из двух домов под общей крышей 	[ˌsemɪ dɪ'tæʧt haus]	Semi-detached house 
Небоскрёб 	[skaɪ 'skreɪpə]	Sky-scraper
Въезжать, переезжать 	[ muːv ɪn/ tə]	Move in/to
Передвигать мебель 	[muːv ðə 'fɜːnɪʧə ə'raund]	Move the furniture around
Выходить на ... (об окнах) 	[luk aut 'ɔntuː]	Look out onto
Передвигать 	[ʃɪft]	Shift
Подновлять, ремонтировать, реконструировать 	['renəveɪt]	Renovate
Ремонт 	[rɪ'peə]	Repair
Снимать квартиру 	[rent ə flæt]	Rent a flat
Проживать в одной комнате с кем-либо 	[ʃeə ə ru:m wɪð<smb>]	Share a room with smb
Починить, исправить 	[put θɪŋz raɪt / fiks]	Put things right / fix
Просторный 	['speɪʃəs]	Spacious
Побелка; белить, делать побелку 	['waɪtwɔʃ]	Whitewash 
Новоселье 	['hausˌwɔːmɪŋ 'pɑːtɪ]	Housewarming party
Места	[ˈpleɪsɪz]	Places
Скорая помощь	[ˈæmbjələns ]	Ambulance 
Продуктовый магазин	[ˈɡrəʊsəri stɔː ]	Grocery store
Билетная касса	[ˈtɪkɪt ˈɒfɪs ]	Ticket office
Концертный зал	[kənˈsɜːt hɔːl ]	Concert hall
Торговый центр	[ˈʃɒpɪŋ mɔːl ]	Shopping mall
Международный аэропорт	[ˌɪntəˈnæʃn̩əl ˈeəpɔːt ]	International airport
Стадион	[ˈsteɪdɪəm ]	Stadium
Вокзал	[ˈreɪlweɪ ˈsteɪʃn̩ ]	Railway station
Собор	[kəˈθiːdrəl]	Cathedral
Зоопарк	[zuː ]	Zoo
Банк	[bæŋk ]	Bank
Рынок	[ˈmɑːkɪt ]	Market
Полицейский участок	[ pəˈliːs ˈsteɪʃn̩ ]	Police station
Дом	[ haʊs ]	House
Школа 	[ skuːl ]	School
Университет	[ ˌjuːnɪˈvɜːsəti ]	University
Церковь	[ tʃɜːtʃ ]	Church
Больница	[ ˈhɒspɪtl ]	Hospital
Музей	[ mjuˈziːəm ]	Museum
Театр	[ ˈθɪə.tər ]	Theater
Обменник	[ˈkʌrənsi ɪkˈstʃeɪndʒ ]	Currency exchange
Банкомат	[ˌeɪtiːˈem ]	ATM
Кино 	[ ˈsɪnəmə ]	Cinema
Памятник	[ˈmɒnjʊmənt]	Monument
Мост	[brɪdʒ ]	Bridge
Консульство	[ˈkɒnsjʊlət ]	Consulate
Пожарная часть	[ˈfaɪə ˈsteɪʃn̩ ]	Fire station
Заправка	[ɡæs ˈsteɪʃn̩ ]	Gas station
Район	[ˈdɪstrɪkt ]	District
Центр города	[ ˈdaʊntaʊn = ðə ˈsɪti ˈsentə ]	Downtown = the city centre
Окраина города	[ ði ˈaʊtskɜːts ]	The outskirts
Загород	[ˈkʌntrisaɪd ]	Countryside
Парк аттракционов	[əˈmjuːzmənt pɑːk ]	Amusement park
Каток	[ˈskeɪtɪŋ rɪŋk ]	Skating rink
Казино	[kəˈsiːnəʊ ]	Casino
Тюрьма	[ˈprɪzn̩ = ʤeɪl]	Prison = jail
Замок	[ˈkɑːsl̩]	Castle
Крепость	[ˈfɔːtrɪs]	Fortress
Здание городского управления	[ˈsɪti hɔːl]	City hall
Разводной мост	[ˈdrɔːbrɪdʒ ]	Drawbridge
Башня	[ˈtaʊə ]	Tower
Храм	[ˈtempl̩ ]	Temple
Часовня	[ˈtʃæpl̩ ]	Chapel
Мечеть	[mɒsk ]	Mosque
Монастырь	[ˈmɒnəstri ]	Monastery
Здание суда	[ˈkɔːthaʊs ]	Courthouse
Небоскреб	[ˈskaɪskreɪpə ]	Skyscraper
Галерея искусств	[ɑːt ˈɡæləri ]	Art gallery
Выставка	[ˌeksɪˈbɪʃn̩ ]	Exhibition
Консерватория	[kənˈsɜːvətr̩i ]	Conservatory
Опера	[ˈɒprə ˈhaʊs ]	Opera house
Концерт	['kɔnsət = ɡɪɡ ]	Concert = gig
Концертная площадка	[ˈmjuːzɪk ˈvenjuː ]	Music venue
Театральное представление	[θiˈætrɪk(ə)l̩ pə'fɔːmən(t)s]	Theatrical performance
Игровой автомат	[ˈslɒt məʃiːn ]	Slot-machine
Универмаг	[dɪˈpɑːtmənt stɔː ]	Department store
Газетный киоск	[ˈnjuːzstænd ]	Newsstand
Посольство	[ˈembəsi ]	Embassy 
Юридическая фирма	[lɔː ˈɒfɪs ]	Law office
Роддом	[məˈtɜːnɪti həʊm ]	Maternity home
Кладбище	[ˈsemətri ]	Cemetery
Регистратура, ЗАГС	[ˈredʒɪstri ˈɒfɪs ]	Registry office
Аэропорт внутренних авиалиний	[dəˈmestɪk ˈeəpɔːt ]	Domestic airport
Страховая компания	[ ɪnˈʃʊərəns ˈkʌmpəni ]	Insurance company
Прачечная	[ˈlɔːndri ]	Laundry
Ремонт обуви	[ʃuː rɪˈpeə ]	Shoe repair
Зона отдыха	[ˌrekrɪˈeɪʃn̩ ˈeəriə ]	Recreation area
Заповедник	[ˈsæŋktʃʊəri ]	Sanctuary
Культурный центр	[ˈkʌltʃə ˈsentə ]	Culture centre
Очень крупный город	[məˈtrɒpəlɪs ]	Metropolis
Деловой район	[ˈbɪznəs ˈeəriə ]	Business area
Жилой район	[ˌrezɪˈdenʃl̩ ˈeəriə ]	Residential area
Правительственный район	[ˈɡʌvənmənt ˈeəriə ]	Government area
Район, окрестность	[ ˈneɪbəhʊd = vɪˈsɪnɪti ]	Neighbourhood = vicinity
Пригород	[ ˈsʌbɜːb ]	Suburb
Загород	[ˈkʌntrisaɪd ]	Countryside
Безопасный	[seɪf ]	Safe
Переполненный, многолюдный	[ ˈkraʊdɪd ]	Crowded
Передвижение по городу	[ˈɡetɪŋ əˈraʊnd ]	Getting around
Площадь	[skweə ]	Square
Главная дорога	[meɪn rəʊd ]	Main road
Светофор	[ˈtræfɪk laɪts ]	Traffic lights
Пешеход	[pɪˈdestrɪən ]	Pedestrian
Канал	[kəˈnæl ]	Canal
Набережная	[en'bankment ]	Embankment
Тротуар	[ˈpeɪvmənt = ˈsaɪdwɔːk ]	Pavement = sidewalk
Пешеходный переход	[ˈkrɒsɪŋ = ˈzebrə ]	Crossing = zebra
Подземный переход	[ˈʌndəɡraʊnd ˈkrɒsɪŋ ]	Underground crossing
Перекресток	[ˌɪntəˈsekʃn̩ = ˈkrɒsrəʊdz ]	Intersection = crossroads
Общественный транспорт	[ˈpʌblɪk ˈtrænspɔːt ]	Public transport
Стоянка такси	[ˈtæksi ræŋk]	Taxi rank
Второстепенная дорога	[saɪd striːt ]	Side street
Проездной билет	[ˈsɪtipɑːs ]	City pass
Автобусный маршрут	[bʌs ruːt ]	Bus route
Велосипедная дорожка	[ˈsaɪkl̩ leɪn ]	Cycle lane
Фуникулер	[ˈkeɪbl̩ kɑː ]	Cable car
Гавань, порт	[ˈhɑːbə ]	Harbour
Док, пристань	[ˈdɒk ]	Dock
Двухэтажный автобус	[ˌdʌbl̩ ˈdekə bʌs ]	Double-decker bus
Второстепенная дорога	[saɪd striːt ]	Side street
Квартал	[ˈblɒk ]	Block
Урна	[ ˈlɪtə bɪn ]	Litter bin
Мусорный бак	[træʃ kənˈteɪnə ]	Trash container
Стройка	[ˈbɪldɪŋ saɪt ]	Building site
Люк	[ˈmænhəʊl ]	Manhole
Уличный фонарь	[street light]	Streetlight
Потеряться	[ˈɡet lɒst ]	To get lost
Тур по городу	[ˈsɪti tʊə ]	City tour
Экскурсия	[ɪkˈskɜːʃn̩ ]	Excursion 
Гид	[ə ɡaɪd ]	A guide 
Достопримечательности	[saɪts ]	Sights 
Туристы	[ˈvɪzɪtəz = ˈtʊərɪsts ]	Visitors = tourists 
Входная плата	[ədˈmɪʃn̩ fiː  / ədˈmɪʃn̩ tʃɑːdʒ ]	Admission fee / admission charge
Цена	[feə = praɪs ]	Fare = price 
Путеводитель	[ ˈɡaɪdbʊk ]	Guidebook 
Историческая достопримечательность	[hɪˈstɒrɪk ˈlændmɑːk ]	Historic landmark 
План поездки	[ˈtrævl̩ aɪˈtɪnərəri ]	Travel itinerary 
Осматривать достопримечательности	[ɡəʊ ˈsaɪtsiːɪŋ ]	To go sightseeing
Поехать на экскурсию	[teɪk ə tʊə ]	To take a tour 
В городе за рулём	[ˈdraɪvɪŋ ɪn ðə ˈsɪti ]	Driving in the city
Аренда машины	[kɑː ˈhaɪə = kɑː ˈrentl̩ ]	Car hire = car rental
Мойка	[kɑː wɒʃ ]	Car wash 
Авторемонт	[kɑː rɪˈpeə ]	Car repair
Пробка	[ˈtræfɪk dʒæm 	Traffic jam 
Шиномонтаж	[ˈtaɪə ˈfɪtɪŋ ]	Tyre fitting
Дорога с односторонним движением	[ˌwʌnˈweɪ striːt ]	One-way street
Дорожный знак	[rəʊd saɪn ]	Road sign
Тупик	[ded end ]	Dead end
Парковка	[kɑː pɑːk = ˈpɑːkɪŋ lɒt ]	Car park = parking lot 
Счетчик платы за стоянку	[ˈpɑːkɪŋ ˈmiːtə ]	Parking meter
Многоуровневая парковка	[ˈmʌlti -ˈstɔːri kɑː pɑːk ]	Multi-storey car park
Перекрёсток с круговым движением	[ˈraʊndəˌbaʊt ]	Roundabout
Дорожные работы	[rəʊd ˈwɜːks ]	Road works
Инспектор дорожного движения	[ˈtræfɪk ˈwɔːdn̩ ]	Traffic warden
Эвакуировать машину	[təʊ əˈweɪ ə kɑː ]	To tow away a car
Заплатить штраф	[peɪ ə faɪn ]	Pay a fine
